Institute ID,Institute Name,TLR,RPC,GO,OI,PERCEPTION,City,State,Score,Rank
IR-O-U-0456,Indian Institute of Technology Madras,90.58,88.02,87.01,63.34,100,Chennai,Tamil Nadu,87.31,1
IR-O-U-0220,Indian Institute of Science,86.47,88.16,83.69,60.29,98.41,Bengaluru,Karnataka,85,2
IR-O-U-0306,Indian Institute of Technology Bombay,83.79,83.05,86.04,60.13,83.35,Mumbai,Maharashtra,81.62,3
IR-O-I-1074,Indian Institute of Technology Delhi,80.52,86.67,74.71,63.54,92.23,New Delhi,Delhi,80.67,4
IR-O-I-1075,Indian Institute of Technology Kanpur,86.36,72.12,82.01,60.38,72.56,Kanpur,Uttar Pradesh,77.25,5
IR-O-U-0573,Indian Institute of Technology Kharagpur,77.73,71.21,81.52,60.63,69.51,Kharagpur,West Bengal,73.99,6
IR-O-U-0560,Indian Institute of Technology Roorkee,73.06,72.05,82.9,64.95,51.24,Roorkee,Uttarakhand,71.73,7
IR-O-N-15,"All India Institute of Medical Sciences, Delhi",75.64,65.06,68.65,70.92,75.4,New Delhi,Delhi,70.57,8
IR-O-U-0109,Jawaharlal Nehru University,75.53,45.59,99.93,78.82,54.13,New Delhi,Delhi,69.62,9
IR-O-U-0500,Banaras Hindu University,76.41,51.17,95.42,65.95,47.63,Varanasi,Uttar Pradesh,68.71,10
IR-O-U-0053,Indian Institute of Technology Guwahati,68.27,67.16,82.12,62.73,43.52,Guwahati,Assam,67.67,11
IR-O-U-0013,Indian Institute of Technology Hyderabad,79.81,56.77,73.89,58.56,54.35,Hyderabad,Telangana,67.04,12
IR-O-U-0108,Jamia Millia Islamia,73.81,50.03,92.56,83.83,29.47,New Delhi,Delhi,66.99,13
IR-O-U-0234,Manipal Academy of Higher Education-Manipal,79.44,61.76,78.52,67.71,20.28,Manipal,Karnataka,66.86,14
IR-O-U-0120,University of Delhi,60.65,58.51,96.94,70.15,40.55,Delhi,Delhi,66.19,15
IR-O-U-0391,Birla Institute of Technology  & Science -Pilani,72.16,63.27,77.74,61.42,27.41,Pilani,Rajasthan,65.06,16
IR-O-U-0436,Amrita Vishwa Vidyapeetham,76.85,51.06,81.91,71.42,30.67,Coimbatore,Tamil Nadu,64.97,17
IR-O-U-0575,Jadavpur University,71.61,52.19,87.82,52.34,44.1,Kolkata,West Bengal,64.34,18
IR-O-U-0496,Aligarh Muslim University,71.5,48.04,93.79,64.58,26.77,Aligarh,Uttar Pradesh,63.76,19
IR-O-U-0304,Homi Bhabha National Institute,76.94,54.16,84.47,56.4,11.67,Mumbai,Maharashtra,63.03,20
IR-O-U-0490,Vellore Institute of Technology,60.55,59.53,83.42,60.61,41.16,Vellore,Tamil Nadu,62.88,21
IR-O-U-0473,S.R.M. Institute of Science and Technology,70.31,54.56,82.47,68.94,20.28,Chennai,Tamil Nadu,62.87,22
IR-O-I-1441,Saveetha Institute of Medical and Technical Sciences,76.12,56.28,73.63,71.44,6.42,Chennai,Tamil Nadu,62.23,23
IR-O-U-0101,Indian Agricultural Research Institute,74.07,46.15,80.08,78.51,16.61,New Delhi,Delhi,61.59,24
IR-O-U-0363,Siksha `O` Anusandhan,75.45,42.48,77.23,73.03,28.87,Bhubaneswar,Odisha,61.01,25
IR-O-U-0042,University of Hyderabad,73.24,44.59,78.52,63.01,29.68,Hyderabad,Telangana,60.32,26
IR-O-U-0356,Kalinga Institute of Industrial Technology,74.01,43.99,80.53,77.74,8.46,Bhubaneswar,Odisha,60.13,27
IR-O-U-0273,Indian Institute of Technology Indore,70.95,55.01,70.76,64.23,17.69,Indore,Madhya Pradesh,60.13,27
IR-O-U-0439,Anna University,62.63,54.88,67.82,51.3,61.18,Chennai,Tamil Nadu,60.06,29
IR-O-U-0467,National Institute of Technology Tiruchirappalli,59.31,50.4,74.23,66.37,56.51,Tiruchirappalli,Tamil Nadu,60.05,30
IR-O-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,57.05,57.79,77.97,60.88,38.97,Varanasi,Uttar Pradesh,60.03,31
IR-O-U-0747,Chandigarh University,65.11,49.13,78.05,74.25,22.48,Mohali,Punjab,59.55,32
IR-O-U-0079,Post Graduate Institute of Medical Education and Research,73.74,54.65,55.7,68.41,26.56,Chandigarh,Chandigarh,59.15,33
IR-O-U-0357,National Institute of Technology Rourkela,64.87,53.58,76.96,60.45,15.78,Rourkela,Odisha,58.55,34
IR-O-U-0205,Indian Institute of Technology (Indian School of Mines),62.12,55.35,73.56,60.64,23.19,Dhanbad,Jharkhand,58.33,35
IR-O-U-0064,Indian Institute of Technology Patna,69.77,47.23,72.43,64.12,16.34,Patna,Bihar,57.63,36
IR-O-U-0497,Amity University,62.88,55.83,74.32,63.12,7.11,Gautam Budh Nagar,Uttar Pradesh,57.49,37
IR-O-U-0222,JSS Academy of Higher Education and Research,76.72,35.68,71.51,79.49,14.64,Mysuru,Karnataka,57.43,38
IR-O-U-0139,Indian Institute of Technology Gandhinagar,73.24,41.27,69.35,67.92,20.03,Gandhinagar,Gujarat,57.01,39
IR-O-U-0329,Symbiosis International,73.49,38.34,72.97,64,23.19,Pune,Maharashtra,56.86,40
IR-O-U-0006,"Andhra University, Visakhapatnam",75.27,26.41,86.6,73.86,14.07,Visakhapatnam,Andhra Pradesh,56.62,41
IR-O-U-0260,Kerala University,71.19,29.64,94.62,64.07,6.76,Thiruvananthapuram,Kerala,56.26,42
IR-O-U-0368,Jawaharlal Institute of Post Graduate Medical Education & Research,75.73,33.76,70.9,70.67,21.27,Puducherry,Pondicherry,56.23,43
IR-O-I-1480,Thapar Institute of Engineering and Technology (Deemed-to-be-university),68.42,45.12,72.16,65.69,11.36,Patiala,Punjab,56.21,44
IR-O-U-0263,National Institute of Technology Calicut,72.96,36.05,72.32,67.54,22.48,Kozhikode,Kerala,56.16,45
IR-O-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),69.03,45.33,73.12,66.74,3.89,Vaddeswaram,Andhra Pradesh,55.99,46
IR-O-U-0570,Calcutta University,64.81,37.24,88.18,51.81,24.79,Kolkata,West Bengal,55.91,47
IR-O-U-0458,Kalasalingam Academy of Research and Education,70.43,36.39,74.68,76.54,10.42,Krishnan Koil,Tamil Nadu,55.68,48
IR-O-U-0379,Lovely Professional University,58.1,49.4,69.31,69.89,23.88,Phagwara,Punjab,55.49,49
IR-O-U-0253,Cochin University of Science and Technology,72.74,39.25,75.69,58.95,7.45,Cochin,Kerala,55.38,50
IR-O-U-0476,Shanmugha Arts Science Technology & Research Academy,71.76,36.5,74.04,71.78,8.46,Thanjavur,Tamil Nadu,55.32,51
IR-O-U-0052,Gauhati University,73.43,26.49,89.46,64.21,9.78,Guwahati,Assam,55.27,52
IR-O-U-0027,Osmania University,75.88,27.86,86.93,57.17,10.1,Hyderabad,Telangana,55.24,53
IR-O-U-0237,"National Institute of Technology Karnataka, Surathkal",59.76,44.19,73.98,62.67,29.47,Surathkal,Karnataka,55.21,54
IR-O-U-0305,Indian Institute of Science Education & Research Pune,69,44.43,60.39,64.23,23.65,Pune,Maharashtra,54.9,55
IR-O-U-0378,Indian Institute of Technology Ropar,65.95,42.3,70.37,63.66,18.48,Rupnagar,Punjab,54.76,56
IR-O-U-0078,Panjab University,56.77,41.58,80.37,65.25,25.46,Chandigarh,Chandigarh,54.65,57
IR-O-U-0184,Indian Institute of Technology Mandi,69.11,41.59,65.15,69,13.78,Mandi,Himachal Pradesh,54.52,58
IR-O-U-0196,University of Kashmir,74.05,34.74,79.88,50.9,6.07,Srinagar,Jammu and Kashmir,54.31,59
IR-O-U-0236,"National Institute of Mental Health & Neuro Sciences, Bangalore",72.77,40.41,66.64,56.46,13.48,Bengaluru,Karnataka,54.28,60
IR-O-U-0448,Bharathidasan University,61.36,40.81,83.97,51.54,12.28,Tiruchirappalli,Tamil Nadu,53.82,61
IR-O-U-0098,Delhi Technological University,64.13,41.43,71.27,56.21,22,New Delhi,Delhi,53.74,62
IR-O-U-0025,National Institute of Technology Warangal,58.72,43.85,72.82,55.83,23.19,Warangal,Telangana,53.23,63
IR-O-U-0308,Institute of Chemical Technology,59.08,47.2,71.48,54.16,16.06,Mumbai,Maharashtra,53.22,64
IR-O-U-0564,UPES,62.97,45.6,60.78,65.41,19.52,Dehradun,Uttarakhand,53.22,64
IR-O-U-0395,Indian Institute of Technology Jodhpur,70.37,39.2,63.41,67.38,8.8,Jodhpur,Rajasthan,53.17,66
IR-O-U-0572,Indian Institute of Science Education & Research Kolkata,67.56,40.58,68.46,52.39,16.61,Mohanpur,West Bengal,53.04,67
IR-O-I-1357,University of Madras,69.12,35.08,70.84,52.79,21.76,Chennai,Tamil Nadu,52.89,68
IR-O-U-0498,Babasheb Bhimrao Ambedkar University,69.26,23.93,80.92,80.25,5.35,Lucknow,Uttar Pradesh,52.71,69
IR-O-U-0377,"Indian Institute of Science Education & Research, Mohali",62.9,34.68,72.82,71.14,17.42,Mohali,Punjab,52.68,70
IR-O-I-1110,Dr. D. Y. Patil Vidyapeeth,74.43,27.91,65.77,62.66,25.46,Pune,Maharashtra,52.67,71
IR-O-U-0555,Graphic Era University,60.52,41.01,62.97,63.43,30.47,Dehradun,Uttarakhand,52.44,72
IR-O-U-0435,Alagappa University,64.62,33.07,73.27,55.96,27.2,Karaikudi,Tamil Nadu,52.27,73
IR-O-U-0107,Jamia Hamdard,64.66,34.02,71.31,66.74,16.61,New Delhi,Delhi,52.2,74
IR-O-U-0272,Indian Institute of Science Education & Research Bhopal,68.49,33.71,70.1,67.04,6.07,Bhopal,Madhya Pradesh,51.99,75
IR-O-U-0447,Bharathiar University,57.6,40.69,76.94,52.76,17.96,Coimbatore,Tamil Nadu,51.96,76
IR-O-U-0410,Malaviya National Institute of Technology,58.82,45.57,69.93,60.75,4.99,Jaipur,Rajasthan,51.88,77
IR-O-U-0691,All India Institute of Medical Sciences Rishikesh,71.66,34.73,55.04,73.95,14.36,Rishikesh,Uttarakhand,51.77,78
IR-O-U-0262,"Mahatma Gandhi University, Kottayam",71.2,34.03,71.68,54.33,3.89,Kottayam,Kerala,51.73,79
IR-O-U-0355,Indian Institute of Technology Bhubaneswar,59.3,38.39,68.29,61.88,20.03,Bhubaneswar,Odisha,51.16,80
IR-O-U-0381,Punjab Agricultural University,72.79,37.6,60.95,50.75,6.42,Ludhiana,Punjab,51.03,81
IR-O-C-16604,Sri Sivasubramaniya Nadar College of Engineering,61.82,40.52,66.99,58.09,11.05,Kalavakkam,Tamil Nadu,51.01,82
IR-O-U-0523,King George`s Medical University,75.27,30.37,62.46,60.52,7.11,Lucknow,Uttar Pradesh,50.94,83
